"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 31 04:17:02 UTC 2023","Wed May 31 04:17:06 UTC 2023","4479",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed May 31 04:15:59 UTC 2023","Wed May 31 04:16:02 UTC 2023","3303","","Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed May 31 05:14:27 UTC 2023","Wed May 31 05:14:35 UTC 2023","8354","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed May 31 05:24:43 UTC 2023","Wed May 31 05:24:43 UTC 2023","198","","Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed May 31 04:15:56 UTC 2023","Wed May 31 04:16:10 UTC 2023","14235",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed May 31 05:13:07 UTC 2023","Wed May 31 05:13:29 UTC 2023","21671","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed May 31 04:16:42 UTC 2023","Wed May 31 04:17:34 UTC 2023","52423","","Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed May 31 05:21:42 UTC 2023","Wed May 31 05:22:24 UTC 2023","42162","","Sign Up new user","","","","1. Create a new user",""
"skipped","Wed May 31 04:15:50 UTC 2023","Wed May 31 04:15:50 UTC 2023","1","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed May 31 04:15:18 UTC 2023","Wed May 31 04:15:41 UTC 2023","23780","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed May 31 04:17:07 UTC 2023","Wed May 31 04:17:07 UTC 2023","615",""," Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"failed","Wed May 31 04:23:30 UTC 2023","Wed May 31 04:26:00 UTC 2023","150338","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed May 31 04:15:55 UTC 2023","Wed May 31 04:15:59 UTC 2023","3578","","Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed May 31 04:32:44 UTC 2023","Wed May 31 04:33:05 UTC 2023","21554","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"failed","Wed May 31 05:05:56 UTC 2023","Wed May 31 05:08:27 UTC 2023","150599","","Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed May 31 04:17:34 UTC 2023","Wed May 31 04:18:10 UTC 2023","35503","","Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed May 31 04:34:12 UTC 2023","Wed May 31 04:34:22 UTC 2023","9624","","Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed May 31 04:16:02 UTC 2023","Wed May 31 04:16:09 UTC 2023","6196","","Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed May 31 05:17:24 UTC 2023","Wed May 31 05:17:28 UTC 2023","3862","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed May 31 05:16:55 UTC 2023","Wed May 31 05:16:58 UTC 2023","2553","","Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed May 31 05:15:51 UTC 2023","Wed May 31 05:15:55 UTC 2023","3960","","Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed May 31 04:17:04 UTC 2023","Wed May 31 04:17:31 UTC 2023","26839","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"failed","Wed May 31 04:26:00 UTC 2023","Wed May 31 04:28:34 UTC 2023","153622","","Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed May 31 05:15:31 UTC 2023","Wed May 31 05:15:53 UTC 2023","21165","","Company Account","","","","1. Validate login credentials",""
"failed","Wed May 31 04:38:21 UTC 2023","Wed May 31 04:40:52 UTC 2023","150452","","Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"failed","Wed May 31 04:53:24 UTC 2023","Wed May 31 04:55:54 UTC 2023","150432","","Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed May 31 05:13:58 UTC 2023","Wed May 31 05:14:01 UTC 2023","2952","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed May 31 05:13:19 UTC 2023","Wed May 31 05:13:47 UTC 2023","27979","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"skipped","Wed May 31 04:37:49 UTC 2023","Wed May 31 04:37:49 UTC 2023","0","","Client Portal - Change Portfolio","","","","6. Submit Change",""
"failed","Wed May 31 04:40:52 UTC 2023","Wed May 31 04:43:22 UTC 2023","150371","","Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"failed","Wed May 31 05:08:27 UTC 2023","Wed May 31 05:11:00 UTC 2023","153446","","Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed May 31 05:18:29 UTC 2023","Wed May 31 05:18:31 UTC 2023","2729","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed May 31 04:16:27 UTC 2023","Wed May 31 04:16:44 UTC 2023","16995","","Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed May 31 05:16:58 UTC 2023","Wed May 31 05:16:58 UTC 2023","497","","Company Account","","","","9. Review Final Review",""
"passed","Wed May 31 05:13:47 UTC 2023","Wed May 31 05:13:58 UTC 2023","11409","","Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed May 31 04:15:31 UTC 2023","Wed May 31 04:16:18 UTC 2023","46602","","Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed May 31 05:24:56 UTC 2023","Wed May 31 05:24:57 UTC 2023","698","","Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed May 31 04:15:52 UTC 2023","Wed May 31 04:15:55 UTC 2023","3588","","Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"failed","Wed May 31 05:03:26 UTC 2023","Wed May 31 05:05:56 UTC 2023","150479","","Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
